ability_id,ability_short_effect_markup,ability_short_effect_html
234,Boosts {Attack;STAT;ATTACK} in battle.,"Boosts <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> in battle."
235,Boosts {Defense;STAT;DEFENSE} in battle.,"Boosts <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_defense.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> in battle."
236,Changes the Pokémon's type to its last used move.,Changes the Pokémon's type to its last used move.
237,Retrieves a Poké Ball from a failed throw.,Retrieves a Poké Ball from a failed throw.
238,Lowers foe's {Speed;STAT;SPEED} when hit.,"Lowers foe's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when hit."
239,Ignores moves and abilities that draw in moves.,Ignores moves and abilities that draw in moves.
240,Reflects any {stat-lowering;STAT;STATS} effects.,"Reflects any <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat-lowering</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> effects."
241,Returns with a catch in its mouth after using {Surf;MOVE;surf} or {Dive;MOVE;dive}.,"Returns with a catch in its mouth after using <a href=""/moves/surf"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Surf</span></a> or <a href=""/moves/dive"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dive</span></a>."
242,Ignores moves and abilities that draw in moves.,Ignores moves and abilities that draw in moves.
243,Drastically raises {Speed;STAT;SPEED} when hit by a {FIRE;TYPE;Fire} type move or a {WATER;TYPE;Water}-type move,"Drastically raises <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when hit by a <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span> type move or a <span style=""background-color: #4D79BC; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Water"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/53ac01b352ec9dea6c9db4c7f8b99b914098bcf6c63d262280fa3d5e7096a090"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Water""><span style=""color: rgb(255, 255, 255);"">Water</span></a></span>-type move"
244,Boosts sound-based moves and halves damage from the same moves.,Boosts sound-based moves and halves damage from the same moves.
245,Creates a sandstorm when hit by an attack.,Creates a sandstorm when hit by an attack.
246,Halves damage from {Special;CATEGORY;special} moves.,"Halves damage from <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special</span><img src=""https://cdn.pokedb.org/971f6e1c49c8329663f6c1427cb11f9ae4e00f75d7fe654dd74a2dc19440c6df"" width=""24"" height=""24"" alt=""Damage Category Icon for Special"" style=""width: 24px; height: 24px""></span> moves."
247,Doubles the effect of berries.,Doubles the effect of berries.
248,Avoids damage from {Physical;CATEGORY;physical} moves for one turn.,"Avoids damage from <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Physical</span><img src=""https://cdn.pokedb.org/6264ae32cd976482cfe876746a108d177a7fa2c677b5dbbf2c2465327ed78bbf"" width=""24"" height=""24"" alt=""Damage Category Icon for Physical"" style=""width: 24px; height: 24px""></span> moves for one turn."
249,Just being next to the Pokémon powers up moves.,Just being next to the Pokémon powers up moves.
250,Changes type depending on the terrain.,Changes type depending on the terrain.
251,"Nullifies effects of {Light Screen;MOVE;light-screen}, {Reflect;MOVE;reflect}, and {Aurora Veil;MOVE;aurora-veil}.","Nullifies effects of <a href=""/moves/light-screen"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Light Screen</span></a>, <a href=""/moves/reflect"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Reflect</span></a>, and <a href=""/moves/aurora-veil"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Aurora Veil</span></a>."
252,Powers up ally Pokémon's {STEEL;TYPE;Steel} type moves,"Powers up ally Pokémon's <span style=""background-color: #4D3F3F; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Steel"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/e34ae6bf5aa2a8934994ad60980b3aa9be2c19db8d2c5408817b185dc3f4b9d7"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Steel""><span style=""color: rgb(255, 255, 255);"">Steel</span></a></span> type moves"
253,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.","When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle."
254,Swaps abilities with opponents on contact.,Swaps abilities with opponents on contact.
255,Boosts the Pokémon's {Attack;STAT;ATTACK} stat but only allows the use of the first selected move.,"Boosts the Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> stat but only allows the use of the first selected move."
256,Neutralizes abilities of all Pokémon in battle.,Neutralizes abilities of all Pokémon in battle.
257,Prevents the Pokémon and its allies from being {poisoned;STATUS;poison}.,"Prevents the Pokémon and its allies from being <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>poisoned</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a>."
258,Changes forms each turn.,Changes forms each turn.
259,Enables the Pokémon to move first occasionally.,Enables the Pokémon to move first occasionally.
260,Contact moves can strike through {Protect;MOVE;protect} / {Detect;MOVE;detect}.,"Contact moves can strike through <a href=""/moves/protect"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Protect</span></a> / <a href=""/moves/detect"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Detect</span></a>."
261,Resets all {stat;STAT;STATS} changes upon entering battlefield.,"Resets all <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> changes upon entering battlefield."
262,Powers up {ELECTRIC;TYPE;Electric}-type moves,"Powers up <span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span>-type moves"
263,Powers up {DRAGON;TYPE;Dragon}-type moves,"Powers up <span style=""background-color: #4D61AA; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Dragon"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9fcb5111e9db77cb7f00db09d781d407e069c8414eacf4aa184b1a73b0d88a77"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Dragon""><span style=""color: rgb(255, 255, 255);"">Dragon</span></a></span>-type moves"
264,Boosts {Attack;STAT;ATTACK} after knocking out a Pokémon.,"Boosts <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> after knocking out a Pokémon."
265,Boosts {Special Attack;STAT;SPATK} after knocking out a Pokémon.,"Boosts <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> after knocking out a Pokémon."
266,Combines {Unnerve;ABILITY;unnerve} and {Chilling Neigh;ABILITY;chilling-neigh},"Combines <a href=""/abilities/unnerve"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Unnerve</span></a> and <a href=""/abilities/chilling-neigh"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Chilling Neigh</span></a>"
267,Combines {Unnerve;ABILITY;unnerve} and {Grim Neigh;ABILITY;grim-neigh},"Combines <a href=""/abilities/unnerve"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Unnerve</span></a> and <a href=""/abilities/grim-neigh"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Grim Neigh</span></a>"
268,Contact changes the attacker's Ability to {Lingering Aroma;ABILITY;lingering-aroma}.,"Contact changes the attacker's Ability to <a href=""/abilities/lingering-aroma"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lingering Aroma</span></a>."
269,Turns the ground into {Grassy Terrain;MOVE;grassy-terrain} when the Pokémon is hit by an attack.,"Turns the ground into <a href=""/moves/grassy-terrain"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Grassy Terrain</span></a> when the Pokémon is hit by an attack."
270,Raises {Attack;STAT;ATTACK} when hit by a {FIRE;TYPE;Fire}-type move. Cannot be {burned;STATUS;burn}.,"Raises <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when hit by a <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span>-type move. Cannot be <a href=""/status_conditions/burn"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>burned</span><img src=""https://cdn.pokedb.org/43b62270be0491a799d2e037aafe0a325e3436593d071f0fac932b3e9eed2cfa"" width=""20"" height=""20"" alt=""Status Condition Icon for Burn"" style=""width: 20px; height: 20px""></a>."
271,Lowers {Defense;STAT;DEFENSE} / {Special Defense;STAT;SPDEF} and raises {Attack;STAT;ATTACK} / {Special Attack;STAT;SPATK} / {Speed;STAT;SPEED} when {HP;STAT;HP} drops below half.,"Lowers <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_defense.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> / <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spdef.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> and raises <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> / <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> / <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> drops below half."
